동,연도,총인구수,남자인구수,여자인구수,구,위도 (Lat),경도 (Long)
선부1동,2019,11387,5853,5534,단원구,37.3422,126.8208
선부1동,2020,17747,9100,8647,단원구,37.3422,126.8208
선부1동,2021,17672,9070,8602,단원구,37.3422,126.8208
선부1동,2022,17348,8819,8529,단원구,37.3422,126.8208
선부1동,2023,17072,8695,8377,단원구,37.3422,126.8208
선부1동,2024,16820,8578,8242,단원구,37.3422,126.8208
선부1동,2025,16610,8420,8190,단원구,37.3422,126.8208
선부2동,2016,22633,12211,10422,단원구,37.3381,126.8167
선부2동,2017,21966,11913,10053,단원구,37.3381,126.8167
선부2동,2018,20252,10997,9255,단원구,37.3381,126.8167
선부2동,2019,18387,9999,8388,단원구,37.3381,126.8167
선부2동,2020,16498,8981,7517,단원구,37.3381,126.8167
선부2동,2021,15948,8620,7328,단원구,37.3381,126.8167
선부2동,2022,15627,8417,7210,단원구,37.3381,126.8167
선부2동,2023,14734,7949,6785,단원구,37.3381,126.8167
선부2동,2024,17258,9190,8068,단원구,37.3381,126.8167
선부2동,2025,17088,9073,8015,단원구,37.3381,126.8167
선부3동,2016,35602,18198,17404,단원구,37.3361,126.8031
선부3동,2017,35177,17965,17212,단원구,37.3361,126.8031
선부3동,2018,37354,19139,18215,단원구,37.3361,126.8031
선부3동,2019,36713,18811,17902,단원구,37.3361,126.8031
선부3동,2020,35320,18143,17177,단원구,37.3361,126.8031
선부3동,2021,34549,17758,16791,단원구,37.3361,126.8031
선부3동,2022,34057,17505,16552,단원구,37.3361,126.8031
선부3동,2023,33122,17004,16118,단원구,37.3361,126.8031
선부3동,2024,32358,16618,15740,단원구,37.3361,126.8031
선부3동,2025,31654,16273,15381,단원구,37.3361,126.8031
성포동,2016,26652,13124,13528,상록구,37.3161,126.8458
성포동,2017,26387,13008,13379,상록구,37.3161,126.8458
성포동,2018,27661,13684,13977,상록구,37.3161,126.8458
성포동,2019,27961,13779,14182,상록구,37.3161,126.8458
성포동,2020,26833,13152,13681,상록구,37.3161,126.8458
성포동,2021,26272,12847,13425,상록구,37.3161,126.8458
성포동,2022,25562,12480,13082,상록구,37.3161,126.8458
성포동,2023,25096,12238,12858,상록구,37.3161,126.8458
성포동,2024,24626,12038,12588,상록구,37.3161,126.8458
성포동,2025,24191,11800,12391,상록구,37.3161,126.8458
신길동,2016,16409,8242,8167,단원구,37.3258,126.7778
신길동,2017,24889,13246,11643,단원구,37.3258,126.7778
신길동,2018,23880,12771,11109,단원구,37.3258,126.7778
신길동,2019,23109,12327,10782,단원구,37.3258,126.7778
신길동,2020,22665,12150,10515,단원구,37.3258,126.7778
신길동,2021,22471,12061,10410,단원구,37.3258,126.7778
신길동,2022,22080,11849,10231,단원구,37.3258,126.7778
신길동,2023,21222,11399,9823,단원구,37.3258,126.7778
신길동,2024,20787,11182,9605,단원구,37.3258,126.7778
신길동,2025,20412,10934,9478,단원구,37.3258,126.7778
안산동,2016,10079,5225,4854,상록구,37.3486,126.8903
안산동,2017,9958,5160,4798,상록구,37.3486,126.8903
안산동,2018,9530,4953,4577,상록구,37.3486,126.8903
안산동,2019,9301,4826,4475,상록구,37.3486,126.8903
안산동,2020,9106,4752,4354,상록구,37.3486,126.8903
안산동,2021,9130,4794,4336,상록구,37.3486,126.8903
안산동,2022,8898,4672,4226,상록구,37.3486,126.8903
안산동,2023,8674,4568,4106,상록구,37.3486,126.8903
안산동,2024,8370,4390,3980,상록구,37.3486,126.8903
안산동,2025,8094,4262,3832,상록구,37.3486,126.8903
와동,2016,44747,23489,21258,단원구,37.3253,126.8372
와동,2017,44010,23104,20906,단원구,37.3253,126.8372
와동,2018,41653,21915,19738,단원구,37.3253,126.8372
와동,2019,39778,20983,18795,단원구,37.3253,126.8372
와동,2020,38957,20554,18403,단원구,37.3253,126.8372
와동,2021,38243,20194,18049,단원구,37.3253,126.8372
와동,2022,37519,19904,17615,단원구,37.3253,126.8372
와동,2023,36697,19542,17155,단원구,37.3253,126.8372
와동,2024,35711,19028,16683,단원구,37.3253,126.8372
