동,연도,총인구수,남자인구수,여자인구수
이동,2020,23979,12811,11168
이동,2021,23874,12812,11062
이동,2022,23515,12657,10858
이동,2023,22805,12336,10469
이동,2024,22498,12240,10258
이동,2025,22178,12082,10096
일동,2016,28258,14340,13918
일동,2017,28311,14362,13949
일동,2018,27235,13845,13390
일동,2019,26073,13276,12797
일동,2020,25009,12731,12278
일동,2021,24691,12606,12085
일동,2022,24413,12444,11969
일동,2023,23444,11959,11485
일동,2024,22752,11618,11134
일동,2025,22283,11419,10864
중앙동,2016,21884,10860,11024
중앙동,2017,21487,10666,10821
중앙동,2018,24502,12148,12354
중앙동,2019,26065,12953,13112
중앙동,2020,25138,12523,12615
중앙동,2021,24506,12227,12279
중앙동,2022,23298,11574,11724
중앙동,2023,23549,11759,11790
중앙동,2024,24288,12053,12235
중앙동,2025,23514,11695,11819
초지동,2016,43008,21956,21052
초지동,2017,42637,21811,20826
초지동,2018,42217,21602,20615
초지동,2019,47944,24552,23392
초지동,2020,47015,24127,22888
초지동,2021,46921,24090,22831
초지동,2022,46508,23912,22596
초지동,2023,45838,23428,22410
초지동,2024,45437,23218,22219
초지동,2025,45944,23498,22446
해양동,2016,19833,10278,9555
해양동,2017,19434,10075,9359
해양동,2018,18618,9587,9031
해양동,2019,18419,9448,8971
해양동,2020,37248,18801,18447
해양동,2021,41279,20790,20489
해양동,2022,41163,20716,20447
해양동,2023,40391,20246,20145
해양동,2024,39748,19916,19832
해양동,2025,39272,19669,19603
호수동,2016,48872,24529,24343
호수동,2017,48388,24342,24046
호수동,2018,46653,23492,23161
호수동,2019,46080,23145,22935
호수동,2020,44212,22209,22003
호수동,2021,43745,21946,21799
호수동,2022,43090,21686,21404
호수동,2023,42772,21527,21245
호수동,2024,42215,21234,20981
호수동,2025,41810,21062,20748
